,M+1,M+2,M+3
570,0.085,0.01675,0.60375
571,0.0855,0.01675,0.60375
572,0.0855,0.01675,0.6035
573,0.086,0.01675,0.604
574,0.0865,0.01675,0.6035
575,0.08625,0.017,0.60475
576,0.08675,0.017,0.60475
577,0.08675,0.01725,0.60575
578,0.08675,0.01725,0.606
579,0.08725,0.0175,0.60675
580,0.08625,0.017,0.60825
581,0.08675,0.017,0.60825
582,0.087,0.017,0.6085
583,0.087,0.017,0.60875
584,0.08725,0.017,0.609
585,0.0875,0.01675,0.60875
586,0.08775,0.017,0.60925
587,0.08825,0.017,0.6095
588,0.0885,0.017,0.60975
589,0.089,0.01725,0.60975
590,0.0885,0.01725,0.61075
591,0.0885,0.01725,0.61075
592,0.0885,0.01725,0.61125
593,0.089,0.01725,0.612
594,0.089,0.0175,0.6125
595,0.089,0.018,0.612
596,0.08925,0.01825,0.61275
597,0.089,0.01825,0.6135
598,0.08975,0.018,0.61425
599,0.0905,0.01825,0.61425
600,0.091,0.0185,0.614
601,0.09175,0.0185,0.61375
602,0.09175,0.0185,0.6145
603,0.09225,0.0185,0.6155
604,0.09275,0.0185,0.6155
605,0.09325,0.01825,0.616
606,0.09325,0.0185,0.6155
607,0.0935,0.0185,0.61625
608,0.0945,0.0185,0.616
609,0.0955,0.0185,0.61625
610,0.0955,0.019,0.616
611,0.09625,0.01875,0.616
612,0.096,0.019,0.61625
613,0.0965,0.019,0.61625
614,0.09675,0.01925,0.61625
615,0.09675,0.0195,0.61625
616,0.0965,0.0195,0.618
617,0.09575,0.01975,0.6185
618,0.09575,0.01925,0.61875
619,0.0955,0.0195,0.6195
620,0.09575,0.02,0.61975
621,0.09575,0.02,0.621
622,0.096,0.02,0.62075
623,0.09575,0.02025,0.621
624,0.09625,0.02025,0.6205
625,0.09675,0.02025,0.62025
626,0.097,0.02025,0.6215
627,0.098,0.02025,0.62175
628,0.09825,0.02025,0.6215
629,0.098,0.02,0.62175
630,0.098,0.02,0.62125
631,0.09875,0.01975,0.621
632,0.099,0.0195,0.62175
633,0.09875,0.0195,0.62225
634,0.0985,0.01925,0.62325
635,0.0985,0.0195,0.62325
636,0.09825,0.01975,0.62425
637,0.098,0.01975,0.624
638,0.098,0.0195,0.625
639,0.09775,0.0195,0.625
640,0.09825,0.0195,0.62425
641,0.0985,0.01975,0.62425
642,0.0985,0.01975,0.62525
643,0.09875,0.01975,0.62625
644,0.0995,0.01975,0.6265
645,0.0995,0.01975,0.6265
646,0.0995,0.02,0.62675
647,0.09975,0.02,0.62725
648,0.1,0.0205,0.62675
649,0.1005,0.0205,0.627
650,0.10075,0.0205,0.62775
651,0.101,0.02075,0.628
652,0.10125,0.02075,0.62825
653,0.1015,0.02075,0.629
654,0.10175,0.021,0.62875
655,0.101,0.02075,0.629
656,0.10125,0.02075,0.629
657,0.102,0.02075,0.62925
658,0.1015,0.021,0.63025
659,0.1025,0.021,0.6295
660,0.103,0.02075,0.62925
661,0.1035,0.0205,0.629
662,0.1035,0.02075,0.62925
663,0.10375,0.021,0.62975
664,0.104,0.021,0.63025
665,0.10475,0.02125,0.62975
666,0.10425,0.0215,0.62975
667,0.10425,0.02125,0.6295
668,0.10425,0.0215,0.63025
669,0.104,0.02175,0.63075
670,0.10275,0.0225,0.63125
671,0.10275,0.023,0.631
672,0.103,0.023,0.631
673,0.10325,0.023,0.631
674,0.1035,0.023,0.63175
675,0.10325,0.023,0.632
676,0.10275,0.02325,0.632
677,0.10325,0.02325,0.63275
678,0.10325,0.02325,0.63325
679,0.10325,0.02325,0.63425
680,0.1035,0.0235,0.6345
681,0.104,0.0235,0.6345
682,0.10425,0.02375,0.63425
683,0.105,0.02375,0.63525
684,0.10525,0.02375,0.63575
685,0.10625,0.02375,0.6355
686,0.10675,0.0235,0.6355
687,0.1075,0.0235,0.63525
688,0.1085,0.0235,0.6345
689,0.109,0.02325,0.635
690,0.10975,0.02325,0.635
691,0.11025,0.023,0.63575
692,0.11,0.023,0.6365
693,0.10975,0.023,0.6375
694,0.1095,0.023,0.639
695,0.11,0.02325,0.6385
696,0.1095,0.02325,0.63875
697,0.10975,0.02325,0.639
698,0.1095,0.02325,0.6395
699,0.11025,0.02325,0.6395
700,0.11025,0.02325,0.64
701,0.11,0.02325,0.64025
702,0.1105,0.023,0.64125
703,0.111,0.023,0.6415
704,0.112,0.023,0.64125
705,0.11275,0.02275,0.64175
706,0.113,0.023,0.6415
707,0.1135,0.02275,0.642
708,0.1135,0.023,0.64225
709,0.11375,0.023,0.642
710,0.11375,0.02275,0.64225
711,0.11375,0.02275,0.64325
712,0.1145,0.02275,0.643
713,0.11475,0.0225,0.64325
714,0.115,0.0225,0.64425
715,0.11475,0.0225,0.64475
716,0.11525,0.02275,0.6445
717,0.11575,0.023,0.6445
718,0.11625,0.023,0.644
719,0.116,0.02325,0.6445
720,0.115,0.02375,0.64475
721,0.1155,0.024,0.645
722,0.11625,0.02375,0.64475
723,0.116,0.024,0.645
724,0.11525,0.024,0.6455
725,0.11525,0.024,0.64575
726,0.115,0.02425,0.6465
727,0.1155,0.02425,0.64675
728,0.116,0.0245,0.6475
729,0.1165,0.0245,0.64725
730,0.1155,0.02425,0.64825
731,0.11525,0.02425,0.648
732,0.116,0.024,0.64825
733,0.11575,0.024,0.649
734,0.116,0.02375,0.65025
735,0.116,0.02325,0.651
736,0.11625,0.023,0.651
737,0.11675,0.023,0.651
738,0.11675,0.023,0.65175
739,0.1165,0.02275,0.6525
740,0.11625,0.02275,0.653
741,0.1165,0.02225,0.65325
742,0.117,0.022,0.65325
743,0.11725,0.02225,0.65375
744,0.11825,0.02225,0.65325
745,0.1185,0.022,0.6545
746,0.11875,0.022,0.655
747,0.119,0.0225,0.65475
748,0.11975,0.0225,0.65525
749,0.1195,0.02275,0.65575
750,0.11975,0.02325,0.6555
751,0.12025,0.02325,0.65625
752,0.12075,0.02325,0.65525
753,0.121,0.0235,0.656
754,0.12,0.02375,0.65675
755,0.12025,0.024,0.657
756,0.1205,0.02375,0.65725
757,0.1205,0.02375,0.65725
758,0.12075,0.024,0.657
759,0.12125,0.0235,0.6585
760,0.12125,0.02325,0.65825
761,0.1215,0.02325,0.65875
762,0.1215,0.02325,0.65875
763,0.12225,0.02325,0.65975
764,0.123,0.023,0.66
765,0.123,0.023,0.6605
766,0.12225,0.023,0.661
767,0.12225,0.02325,0.66125
768,0.12175,0.02325,0.66125
769,0.12125,0.0235,0.66175
770,0.121,0.02375,0.66225
771,0.1215,0.02375,0.6625
772,0.12125,0.024,0.663
773,0.12125,0.024,0.66225
774,0.121,0.024,0.6625
775,0.121,0.02375,0.663
776,0.12175,0.024,0.6625
777,0.1225,0.0235,0.66275
778,0.12325,0.0235,0.662
779,0.1235,0.02375,0.6615
780,0.1235,0.024,0.662
781,0.123,0.02425,0.66275
782,0.1235,0.02425,0.663
783,0.1235,0.024,0.6635
784,0.1235,0.024,0.6635
785,0.123,0.02425,0.66425
786,0.12375,0.024,0.6645
787,0.1245,0.02425,0.664
788,0.1245,0.0245,0.66475
789,0.12475,0.024,0.66525
790,0.12475,0.02425,0.665
791,0.1255,0.02425,0.6645
792,0.12625,0.02425,0.66475
793,0.126,0.02425,0.66575
794,0.12525,0.02475,0.6665
795,0.12575,0.02475,0.66675
796,0.1255,0.02475,0.66675
797,0.125,0.025,0.66825
798,0.12425,0.025,0.669
799,0.12425,0.02475,0.67
800,0.12475,0.0245,0.67
801,0.12525,0.0245,0.6695
802,0.125,0.0245,0.66975
803,0.12575,0.0245,0.669
804,0.126,0.02425,0.6695
805,0.1265,0.024,0.66975
806,0.12625,0.02425,0.67
807,0.126,0.0245,0.671
808,0.1265,0.02425,0.67125
809,0.12625,0.0245,0.672
810,0.12625,0.0245,0.672
811,0.126,0.0245,0.67225
812,0.126,0.0245,0.67325
813,0.12675,0.02475,0.6725
814,0.12675,0.02475,0.673
815,0.127,0.025,0.67325
816,0.12675,0.02475,0.67375
817,0.12675,0.025,0.67325
818,0.12725,0.02525,0.673
819,0.1275,0.02525,0.673
820,0.128,0.02575,0.67275
821,0.12825,0.02575,0.673
822,0.128,0.02575,0.6735
823,0.1275,0.02575,0.67375
824,0.12725,0.02575,0.67475
825,0.12725,0.02575,0.67475
826,0.127,0.02575,0.67525
827,0.128,0.025,0.67525
828,0.12775,0.02475,0.67625
829,0.12775,0.0245,0.67675
830,0.12775,0.0245,0.67675
831,0.12725,0.0245,0.6775
832,0.1275,0.02475,0.67775
833,0.128,0.0245,0.678
834,0.12825,0.0245,0.67775
835,0.12875,0.02425,0.678
836,0.12875,0.02425,0.67775
837,0.12825,0.0245,0.677
838,0.128,0.02425,0.6775
839,0.12875,0.02425,0.67725
840,0.129,0.02425,0.67675
841,0.12875,0.0245,0.678
842,0.1285,0.02425,0.67875
843,0.12875,0.024,0.679
844,0.12925,0.024,0.67925
845,0.12975,0.02425,0.679
846,0.12925,0.0245,0.67975
847,0.12975,0.0245,0.68025
848,0.1295,0.02425,0.681
849,0.12875,0.024,0.68175
850,0.1285,0.02375,0.683
851,0.1285,0.02375,0.6835
852,0.128,0.024,0.68425
853,0.12775,0.02375,0.68525
854,0.128,0.02375,0.68525
855,0.127,0.024,0.6855
856,0.12725,0.024,0.6855
857,0.12675,0.024,0.68575
858,0.127,0.0245,0.68525
859,0.1275,0.02425,0.6855
860,0.1275,0.02425,0.68625
