,M+1,M+2,M+3,M+4,M+5
572,0.0,0.26,0.0,0.18,0.06
573,0.0,0.24,0.02,0.18,0.06
574,0.0,0.26,0.02,0.18,0.06
575,0.0,0.28,0.04,0.12,0.06
576,0.0,0.28,0.06,0.1,0.06
577,0.0,0.34,0.08,0.06,0.04
578,0.0,0.34,0.06,0.08,0.02
579,0.0,0.32,0.06,0.08,0.02
580,0.0,0.28,0.06,0.1,0.04
581,0.0,0.34,0.06,0.06,0.04
582,0.0,0.32,0.08,0.06,0.06
583,0.0,0.28,0.08,0.1,0.02
584,0.0,0.3,0.06,0.1,0.04
585,0.0,0.3,0.06,0.04,0.06
586,0.0,0.28,0.06,0.06,0.06
587,0.0,0.32,0.06,0.06,0.04
588,0.0,0.3,0.04,0.08,0.02
589,0.0,0.3,0.06,0.08,0.04
590,0.0,0.3,0.06,0.1,0.04
591,0.0,0.22,0.06,0.12,0.06
592,0.0,0.2,0.1,0.14,0.06
593,0.0,0.24,0.1,0.14,0.08
594,0.0,0.24,0.1,0.12,0.08
595,0.0,0.24,0.12,0.08,0.04
596,0.0,0.22,0.14,0.08,0.02
597,0.0,0.24,0.1,0.1,0.02
598,0.0,0.2,0.08,0.14,0.02
599,0.0,0.28,0.08,0.08,0.02
600,0.0,0.3,0.06,0.1,0.0
601,0.0,0.32,0.04,0.1,0.0
602,0.0,0.22,0.06,0.12,0.0
603,0.0,0.18,0.06,0.12,0.02
604,0.0,0.22,0.02,0.16,0.02
605,0.0,0.24,0.02,0.14,0.04
606,0.0,0.3,0.0,0.12,0.02
607,0.0,0.28,0.0,0.16,0.02
608,0.0,0.3,0.02,0.16,0.02
609,0.0,0.3,0.06,0.18,0.02
610,0.0,0.3,0.08,0.16,0.02
611,0.0,0.24,0.06,0.2,0.02
612,0.0,0.28,0.08,0.14,0.02
613,0.0,0.24,0.08,0.1,0.04
614,0.0,0.26,0.1,0.1,0.02
615,0.0,0.22,0.12,0.14,0.02
616,0.0,0.16,0.18,0.16,0.02
617,0.0,0.22,0.14,0.1,0.02
618,0.0,0.16,0.14,0.18,0.02
619,0.0,0.16,0.14,0.2,0.04
620,0.0,0.16,0.12,0.14,0.06
621,0.0,0.2,0.12,0.14,0.04
622,0.0,0.16,0.14,0.18,0.02
623,0.0,0.18,0.12,0.18,0.0
624,0.0,0.18,0.08,0.16,0.02
625,0.0,0.14,0.1,0.12,0.02
626,0.0,0.12,0.12,0.16,0.02
627,0.0,0.12,0.12,0.12,0.02
628,0.0,0.1,0.12,0.1,0.04
629,0.0,0.1,0.12,0.1,0.06
